unit,year,median_income,proportion,median_age,65p_proportion,covid_fully_vac_rate
Lynn-asian,2022,93633.0,0.0577230683635857,35.3,0.0060206849274239,0.77
Lynn-black,2022,65577.0,0.1344818336264194,30.0,0.0105014256902427,0.61
Lynn-hispanic,2022,56354.0,0.4293960438337655,28.9,0.0258809970890087,0.64
Lynn-white,2022,72213.0,0.4706268069506125,43.2,0.0918005424577508,0.8
Marlborough-asian,2022,124476.0,0.051653741151458,34.9,0.0075137107100577,0.58
Marlborough-black,2022,125364.0,0.0342586552632214,37.1,0.0030441400304414,0.65
Marlborough-hispanic,2022,62611.0,0.1693604889951921,28.5,0.0073929115025005,0.94
Marlborough-white,2022,93207.0,0.647507912348095,44.6,0.1235292696479911,0.68
Methuen-asian,2022,119873.0,0.0417518745739604,37.0,0.0053586306142543,0.61
Methuen-black,2022,117895.0,0.0551011133833219,36.2,0.0030106793910474,0.8
Methuen-hispanic,2022,61910.0,0.2994963265924411,32.8,0.0238014087707339,0.54
Methuen-white,2022,101338.0,0.6222828145118534,45.6,0.1431114140725592,0.65
Milford-asian,2022,151458.0,0.0249983444804979,47.3,0.0044699026554532,0.6
Milford-black,2022,76351.0,0.039600026488312,32.3,0.0058605390371498,0.75
Milford-hispanic,2022,76215.0,0.1171445599629163,29.9,0.0083438182901794,1.0
Milford-white,2022,97700.0,0.7328322627640553,44.4,0.1528375604264618,0.73
New Bedford-asian,2022,52143.0,0.0130292188431723,28.2,0.0009043927648578,0.57
New Bedford-black,2022,51220.0,0.0549691910157026,32.8,0.0049493142516398,0.63
New Bedford-hispanic,2022,44125.0,0.2344563705028821,24.0,0.01096203538064,0.58
New Bedford-white,2022,60289.0,0.6042238123633472,43.4,0.1299741602067183,0.55
Peabody-asian,2022,133282.0,0.0155523577595749,56.6,0.0047044498560991,0.7
Peabody-black,2022,70536.0,0.0312892037488008,34.0,0.0039664969374953,0.69
Peabody-hispanic,2022,75024.0,0.11674415172312,31.2,0.0090030256069662,0.72
Peabody-white,2022,92192.0,0.8502693528152904,50.1,0.2271603571692126,0.72
Revere-asian,2022,92303.0,0.0590983376529045,38.4,0.0053320567211978,0.79
Revere-black,2022,89493.0,0.0396850289713917,32.5,0.0032520593624643,0.61
Revere-hispanic,2022,93670.0,0.3991118741436519,34.0,0.0156164881060468,0.73
Revere-white,2022,76745.0,0.5868233818115787,44.4,0.1255757135546494,0.71
Southbridge-asian,2022,71818.0,0.0113758560190163,41.0,0.0017544852566642,0.63
Southbridge-black,2022,44712.0,0.0494651649782104,28.4,0.0018110815552662,0.64
Southbridge-hispanic,2022,43517.0,0.3601222480049805,27.6,0.0273360122248004,0.77
Southbridge-white,2022,55079.0,0.6961910691040806,45.5,0.1143811194747863,0.55
Springfield-asian,2022,62436.0,0.0287885129261775,33.6,0.0030971314510157,0.67
Springfield-black,2022,49506.0,0.2052348604359164,30.7,0.0262258137213869,0.58
Springfield-hispanic,2022,33619.0,0.482972215962139,27.8,0.0355365249026109,0.47
Springfield-white,2022,55554.0,0.4605904510479379,38.1,0.0772995074208814,0.73
Waltham-asian,2022,130970.0,0.129993355071008,29.4,0.0124244718826783,0.68
Waltham-black,2022,95411.0,0.0710698335677087,33.7,0.0086075010430993,0.72
Waltham-hispanic,2022,83313.0,0.1530497133408539,27.0,0.0064903957596081,0.6
Waltham-white,2022,114206.0,0.6557154115992644,38.9,0.130951461111712,0.73
Worcester-asian,2022,62159.0,0.0677747794956682,33.2,0.0070571180904153,0.7
Worcester-black,2022,63756.0,0.128012498102267,31.0,0.0078504929208437,0.59
Worcester-hispanic,2022,46739.0,0.2459461974327957,28.5,0.0163523367827181,0.57
Worcester-white,2022,66828.0,0.6127155457390384,38.5,0.1069782703449221,0.64
